#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E234174798AA504-16A57280EAFA4661
#datatype	hitsFull Results
#status	0
#Start time	2021-08-15T00:37:16	Run time	0:00:00:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >enc:ECL_03358 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lgt; beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	31	288	4.09849e-23	95.9579	pfam07922	Glyco_transf_52	 - 	cl40640
Q#1 - >enc:ECL_03358 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lgt; beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	31	288	4.09849e-23	95.9579	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#2 - >enc:ECL_03541 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) putative glycosyltransferase family 52 protein (A)	non-specific	400326	28	185	3.88014e-08	53.586	pfam07922	Glyco_transf_52	C	cl40640
Q#2 - >enc:ECL_03541 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) putative glycosyltransferase family 52 protein (A)	superfamily	424271	28	185	3.88014e-08	53.586	cl40640	A-2_8-polyST superfamily	C	 - 
Q#3 - >cko:CKO_00009 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	specific	400326	29	304	8.63041e-91	271.994	pfam07922	Glyco_transf_52	 - 	cl40640
Q#3 - >cko:CKO_00009 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	29	304	8.63041e-91	271.994	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#4 - >ebf:D782_1591 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Glycosyltransferase family 52 (A)	non-specific	400326	31	290	3.17652e-21	90.9503	pfam07922	Glyco_transf_52	 - 	cl40640
Q#4 - >ebf:D782_1591 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Glycosyltransferase family 52 (A)	superfamily	424271	31	290	3.17652e-21	90.9503	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#5 - >pwa:Pecwa_3025 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	non-specific	400326	49	290	3.50411e-26	104.818	pfam07922	Glyco_transf_52	 - 	cl40640
Q#5 - >pwa:Pecwa_3025 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	superfamily	424271	49	290	3.50411e-26	104.818	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#5 - >pwa:Pecwa_3025 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	non-specific	400326	49	290	3.50411e-26	104.818	pfam07922	Glyco_transf_52	 - 	cl40640
Q#6 - >pec:W5S_3013 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) UDP-glucose:glucosyl LPS a1,2-glucosyltransferase (A)	non-specific	400326	49	290	3.50411e-26	104.818	pfam07922	Glyco_transf_52	 - 	cl40640
Q#6 - >pec:W5S_3013 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) UDP-glucose:glucosyl LPS a1,2-glucosyltransferase (A)	superfamily	424271	49	290	3.50411e-26	104.818	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#6 - >pec:W5S_3013 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) UDP-glucose:glucosyl LPS a1,2-glucosyltransferase (A)	non-specific	400326	49	290	3.50411e-26	104.818	pfam07922	Glyco_transf_52	 - 	cl40640
Q#7 - >prq:CYG50_16510 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	84	239	1.24541e-10	59.7492	pfam07922	Glyco_transf_52	C	cl40640
Q#7 - >prq:CYG50_16510 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	84	239	1.24541e-10	59.7492	cl40640	A-2_8-polyST superfamily	C	 - 
Q#8 - >eic:NT01EI_1314 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	43	287	3.13448e-15	74.0016	pfam07922	Glyco_transf_52	 - 	cl40640
Q#8 - >eic:NT01EI_1314 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	43	287	3.13448e-15	74.0016	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#9 - >etr:ETAE_1205 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	23	282	1.63975e-25	102.506	pfam07922	Glyco_transf_52	 - 	cl40640
Q#9 - >etr:ETAE_1205 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	23	282	1.63975e-25	102.506	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#10 - >ete:ETEE_3149 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	23	282	7.0348e-23	95.1875	pfam07922	Glyco_transf_52	 - 	cl40640
Q#10 - >ete:ETEE_3149 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	23	282	7.0348e-23	95.1875	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#11 - >etc:ETAC_05735 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	288	2.00698e-25	102.121	pfam07922	Glyco_transf_52	 - 	cl40640
Q#11 - >etc:ETAC_05735 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	29	288	2.00698e-25	102.121	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#12 - >edw:QY76_14245 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	288	7.77219e-23	95.1875	pfam07922	Glyco_transf_52	 - 	cl40640
Q#12 - >edw:QY76_14245 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	29	288	7.77219e-23	95.1875	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#12 - >edw:QY76_14245 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	288	7.77219e-23	95.1875	pfam07922	Glyco_transf_52	 - 	cl40640
Q#13 - >edl:AAZ33_06210 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	288	7.77219e-23	95.1875	pfam07922	Glyco_transf_52	 - 	cl40640
Q#13 - >edl:AAZ33_06210 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	29	288	7.77219e-23	95.1875	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#13 - >edl:AAZ33_06210 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	288	7.77219e-23	95.1875	pfam07922	Glyco_transf_52	 - 	cl40640
Q#14 - >hin:HI_1699 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lipopolysaccharide biosynthesis protein, putative (A)	specific	400326	25	282	9.89154e-97	286.247	pfam07922	Glyco_transf_52	 - 	cl40640
Q#14 - >hin:HI_1699 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lipopolysaccharide biosynthesis protein, putative (A)	superfamily	424271	25	282	9.89154e-97	286.247	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#15 - >hit:NTHI2006 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	5.07171e-92	274.305	pfam07922	Glyco_transf_52	 - 	cl40640
Q#15 - >hit:NTHI2006 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	5.07171e-92	274.305	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#16 - >hiq:CGSHiGG_02245 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lipopolysaccharide biosynthesis protein (A)	specific	400326	25	282	2.96246e-91	272.379	pfam07922	Glyco_transf_52	 - 	cl40640
Q#16 - >hiq:CGSHiGG_02245 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lipopolysaccharide biosynthesis protein (A)	superfamily	424271	25	282	2.96246e-91	272.379	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#17 - >hif:HIBPF_05070 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	specific	400326	25	282	1.42626e-94	280.854	pfam07922	Glyco_transf_52	 - 	cl40640
Q#17 - >hif:HIBPF_05070 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	superfamily	424271	25	282	1.42626e-94	280.854	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#18 - >hil:HICON_13890 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	specific	400326	25	282	1.42626e-94	280.854	pfam07922	Glyco_transf_52	 - 	cl40640
Q#18 - >hil:HICON_13890 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	superfamily	424271	25	282	1.42626e-94	280.854	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#19 - >hiu:HIB_18760 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	specific	400326	25	282	7.21286e-93	276.231	pfam07922	Glyco_transf_52	 - 	cl40640
Q#19 - >hiu:HIB_18760 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	superfamily	424271	25	282	7.21286e-93	276.231	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#20 - >hie:R2846_0692 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; Lipopolysaccharide biosynthesis protein LsgB (A)	specific	400326	25	282	7.9974e-89	266.216	pfam07922	Glyco_transf_52	 - 	cl40640
Q#20 - >hie:R2846_0692 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; Lipopolysaccharide biosynthesis protein LsgB (A)	superfamily	424271	25	282	7.9974e-89	266.216	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#21 - >hiz:R2866_0756 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; Lipopolysaccharide biosynthesis protein LsgB (A)	specific	400326	25	282	1.29913e-92	275.846	pfam07922	Glyco_transf_52	 - 	cl40640
Q#21 - >hiz:R2866_0756 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; Lipopolysaccharide biosynthesis protein LsgB (A)	superfamily	424271	25	282	1.29913e-92	275.846	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#21 - >hiz:R2866_0756 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; Lipopolysaccharide biosynthesis protein LsgB (A)	non-specific	400326	25	282	1.29913e-92	275.846	pfam07922	Glyco_transf_52	 - 	cl40640
Q#22 - >hik:HifGL_000980 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; lipopolysaccharide biosynthesis protein (A)	specific	400326	25	282	1.29913e-92	275.846	pfam07922	Glyco_transf_52	 - 	cl40640
Q#22 - >hik:HifGL_000980 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; lipopolysaccharide biosynthesis protein (A)	superfamily	424271	25	282	1.29913e-92	275.846	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#22 - >hik:HifGL_000980 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; lipopolysaccharide biosynthesis protein (A)	non-specific	400326	25	282	1.29913e-92	275.846	pfam07922	Glyco_transf_52	 - 	cl40640
Q#23 - >hia:H733_0787 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	5.65551e-92	273.92	pfam07922	Glyco_transf_52	 - 	cl40640
Q#23 - >hia:H733_0787 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	5.65551e-92	273.92	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#24 - >hih:NF38_05730 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#24 - >hih:NF38_05730 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	2.78549e-92	274.691	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#24 - >hih:NF38_05730 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#25 - >hiw:NTHI477_00040 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	4.44192e-89	266.601	pfam07922	Glyco_transf_52	 - 	cl40640
